Control_1 Control_2 Control_3 Control_4 dazl_1 dazl_2 dazl_3 dazl_4
ENSDARG00000002362 6.293498 7.194635 8.424588 8.13564650865 13.67802 13.29619 11.493151 10.0341199371137
ENSDARG00000002365 10.4348 10.0857 17.5581 13.5408 16.0851 16.2361 14.6717 15.6994
ENSDARG00000002369 33.3725 45.483 59.9281 44.5826 116.031 94.293 79.4294 94.8814
ENSDARG00000002377 6.722093 7.794149 9.699842 7.094608 9.94613 11.6707 6.866911 9.149188
ENSDARG00000002385 2.966801 2.4910019 2.895088 2.0292137 3.557619 3.235885 3.102374 2.747647
ENSDARG00000002391 0.287284 0.255916 0.787149 0.875179 0.615072 0.661392 0.259844 0.191076
ENSDARG00000002394 0 0 0 0.0538351 0.0230775 0 0.0219392 0.0215161
ENSDARG00000002396 3.15306 3.85666 4.35262 3.66306 5.29603 5.45374 5.837 9.40578
ENSDARG00000002401 16.2963299 20.7599934 41.5937055 37.2960993 27.82271 28.3641729 27.0515385 24.877378
ENSDARG00000002402 7.16293 6.89355 8.96667 7.88484 16.2996 15.1986 12.2978 10.8722
ENSDARG00000002403 61.6844 57.4188 74.2008 65.8686 110.972 102.775 84.353 81.1399
ENSDARG00000002405 2.9943616 3.1138793 3.0346943 1.918168 2.72499 2.7219615 3.7108179 3.14899
ENSDARG00000002406 0.446729 0.48681 1.01679 0.660711 1.13555 1.52275 0.896877 0.379682
ENSDARG00000002411 0.7631737 0.981377 1.3941878 0.6455605 1.108839 1.598902 1.1951786 0.782114
ENSDARG00000002445 6.15252 6.92648 9.7868 6.63069 10.9889 12.07 11.2326 8.6365
ENSDARG00000002463 1.333124 0.958028 3.173225 1.29347 3.853958 4.378651 3.257637 4.341658
ENSDARG00000002467 8.34342 6.86751 8.51133 7.64409 9.66741 9.54886 9.48988 10.9383
ENSDARG00000002479 15.9464 11.989 13.8012 10.9192 18.4854 18.851 17.1538 17.8448
ENSDARG00000002483 0.294693 0.0874222 0.8793026 0.19025 0.805543 1.2202 0.499364 0.424318
ENSDARG00000002487 26.54595 21.91893 25.655122 22.882595 33.259879 31.72583 25.800982 24.301244
ENSDARG00000002494 3.440099 4.175194 4.957093 3.929391 4.93238 5.764909 3.94256 3.135816
ENSDARG00000002506 48.53674 50.878484 52.973937 51.537113 57.22544 53.1441 53.637265 51.58625
ENSDARG00000002507 8.843367 6.134845 7.492157 4.58361 4.418709 5.34818 3.36488 3.270117
ENSDARG00000002508 0.123271 0.0817148 0.0150791 0 0.0490709 0.0314523 0.140115 0.0760851
ENSDARG00000002509 0.984398 0.693932 0.939383 1.16508 1.10249 0.845748 1.42389 1.8926
ENSDARG00000002510 0.414272 0.331435 1.09944 0.270496 3.67851 3.44036 1.48858 0.926867
ENSDARG00000002523 13.307238 15.54742 22.40062 21.371055 44.10787 38.41461 25.17242 23.718554
ENSDARG00000002533 0.116104 0.254615 0.435298 0.107947 0.833596 0.672366 0.475458 0.284923
ENSDARG00000002536 7.82262 8.96878 19.776 14.3526 26.0871 25.2435 17.8632 20.5782
ENSDARG00000002538 47.790256 52.952035 50.5312 54.5934337 63.3681 60.951013 63.31137 61.334661
ENSDARG00000002546 4.49984 3.933888 3.869483 3.589461 5.08424 4.24489 4.677987 5.123
ENSDARG00000002549 10.336491 12.396321 14.504625 14.2260691 16.592989 17.473852 15.67953 18.01081
ENSDARG00000002552 15.3832 18.8745 25.925 22.6234 36.0762 36.5528 33.0088 38.0645
ENSDARG00000002564 1.13432 1.17633 4.02339 3.73858 6.64042 6.62993 4.3244 2.6809
ENSDARG00000002571 0.774868 0.820358 1.84684 1.06208 6.24115 5.92574 2.74912 2.48418
ENSDARG00000002576 0.299536 0.525017 0.642006 0.380375 0.341126 0.543467 0.512528 0.52964
ENSDARG00000002582 4.104707 4.494324 2.715727 3.459104 4.48725 4.858203 3.978002 3.830995
ENSDARG00000002587 16.7201328 19.7980764 19.5778116 17.4123599 25.097929 23.9263065 25.4357237 24.3557
